Регион,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Российская Федерация,122.4,128.6,148.4,168.6,174.5,191.5,199.5,204.6,189.8,178.9,175.5,176.2,180.6,180.1,175.1,157.9,150.8,146.7,146.3,143.7,125.0,115.1,108.8
Сибирский федеральный округ,128.1,132.9,145.1,169.1,182.2,187.1,192.8,196.0,185.1,174.0,170.5,176.7,185.2,187.5,175.1,171.1,163.4,155.6,150.7,145.0,132.1,115.9,120.7
Республика Алтай,130.2,147.8,191.6,256.9,324.0,312.4,268.2,319.1,243.2,185.8,176.2,239.5,261.7,291.0,253.4,227.1,162.0,161.4,190.9,208.7,174.1,174.5,228.7
Республика Тыва,84.7,106.4,150.9,143.2,147.4,146.0,140.1,139.2,187.5,179.2,174.8,172.3,164.6,204.8,182.9,229.5,237.2,244.0,243.9,232.3,237.2,209.1,193.6
Республика Хакасия,158.5,165.8,224.9,241.3,320.9,305.8,291.7,304.4,284.1,277.5,282.6,323.0,300.0,274.0,238.0,215.7,173.5,139.0,131.9,122.8,125.5,105.1,108.3
Алтайский край,92.3,105.3,142.0,216.4,242.4,229.7,223.2,213.2,197.2,177.4,175.9,171.1,192.7,220.0,212.1,186.9,171.3,167.5,158.7,154.2,137.3,132.1,139.1
Красноярский край,125.2,131.8,131.6,157.4,177.2,193.6,220.4,229.1,222.2,212.6,218.2,217.3,227.2,230.9,208.5,197.7,185.4,165.1,150.3,152.4,142.3,116.1,117.6
Иркутская область,166.5,172.7,175.6,187.5,203.3,204.5,207.6,228.0,203.0,193.7,177.6,184.2,181.6,177.7,175.2,167.8,178.8,177.7,176.8,174.1,144.4,129.2,125.6
Кемеровская область - Кузбасс,137.9,138.2,152.6,156.3,159.4,162.7,165.1,165.7,163.7,158.5,157.1,164.8,181.7,177.3,172.8,158.9,151.4,144.8,141.3,139.8,133.3,124.6,122.6
Новосибирская область,114.7,118.5,121.6,143.2,137.9,141.2,145.9,145.7,135.8,125.6,121.4,122.7,115.4,125.3,106.2,125.4,118.4,120.4,114.0,91.4,94.3,75.6,98.0
Омская область,155.7,151.3,158.8,177.3,186.4,217.2,217.2,208.4,204.7,189.0,177.8,198.4,227.0,204.8,197.8,211.5,203.0,189.2,195.1,190.9,166.3,143.8,147.2
Томская область,78.0,79.1,76.3,77.9,74.2,74.5,105.3,109.9,94.5,93.1,98.6,105.2,106.9,105.4,94.6,96.7,99.4,93.7,87.9,82.7,63.9,49.5,51.3
